도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
휴먼시아새마을작은도서관,경상남도,함양군,작은도서관,평일,00:00,00:00,10:00,17:00,10:00,17:00,30,3378,0,0,4,7,경상남도 함양군 함양읍 함양로 1246(함양교산휴먼시아),,,,,,35.52859401,127.7329722,2026-06-02,5460000,경상남도 함양군
이산책판도서관,경상남도,함양군,작은도서관,매주토요일+일요일,10:00,17:00,00:00,00:00,00:00,00:00,10,1350,0,0,0,0,경상남도 함양군 서상면 덕유월성로 495,,,,,,35.73978722,127.6790335,2026-06-02,5460000,경상남도 함양군
반딧불작은도서관,경상남도,함양군,작은도서관,매주토요일+일요일,13:00,17:00,00:00,00:00,00:00,00:00,10,1250,0,0,0,0,경상남도 함양군 함양읍 거면강변길 22,,,,,,35.50904913,127.7299311,2026-06-02,5460000,경상남도 함양군
녹색대학문고,경상남도,함양군,작은도서관,매주토요일+일요일,13:00,17:00,00:00,00:00,00:00,00:00,20,6000,2,0,0,0,경상남도 함양군 백전면 구산대안로 10-2,,,,,,35.55442193,127.6342589,2026-06-02,5460000,경상남도 함양군
구세군사랑듬book작은도서관,경상남도,함양군,작은도서관,매주토요일+일요일,13:00,17:00,00:00,00:00,00:00,00:00,12,1100,4,0,0,0,경상남도 함양군 안의면 갈촌길 5,,,,,,35.61806255,127.8281917,2026-06-02,5460000,경상남도 함양군
이서작은도서관,경상북도,청도군,작은도서관,일+월+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,15,2310,0,0,10,14,경상북도 청도군 이서면 이서로 145-18,경상북도 청도군청,054-373-9589,4351,99,https://lib.cheongdo.go.kr/cd/index.do,35.66323744,128.670500,2026-06-01,5190000,경상북도 청도군
청도금빛도서관,경상북도,청도군,작은도서관,일+월+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,38,5229,0,0,10,14,경상북도 청도군 금천면 청려로 4221-9,경상북도 청도군청,054-371-0124,6076,255,https://lib.cheongdo.go.kr/cd/index.do,35.69191987,128.8897137,2026-06-01,5190000,경상북도 청도군
청도작은도서관,경상북도,청도군,작은도서관,일+월+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,37,10077,0,0,10,14,경상북도 청도군 풍각면 송서8길 6-3,경상북도 청도군청,054-373-5538,1626,219,https://lib.cheongdo.go.kr/cd/index.do,35.64214061,128.6178319,2026-06-01,5190000,경상북도 청도군
청도어린이도서관,경상북도,청도군,어린이도서관,금+국가지정공휴일,09:00,18:00,09:00,17:00,09:00,17:00,100,66923,22,1404,10,14,경상북도 청도군 화양읍 청화로 79-3,경상북도 청도군청,054-370-6753,1822,687,https://lib.cheongdo.go.kr/cd/index.do,35.6481836,128.7363348,2026-06-01,5190000,경상북도 청도군
영주하망도서관,경상북도,영주시,공공도서관,매주월요일+국가지정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,190,17964,59,5659,5,14,경상북도 영주시 중앙로126번길 11,경상북도 영주시청,054-639-4957,1618,2053,https://lib.yeongju.go.kr/,36.8263808,128.6265258,2026-06-22,5090000,경상북도 영주시
영주시립도서관,경상북도,영주시,공공도서관,매주화요일+국가지정공휴일,09:00,21:00,09:00,21:00,09:00,21:00,188,82715,59,2891,5,14,경상북도 영주시 가흥로 263,경상북도 영주시청,054-638-2550,9470,1338,https://lib.yeongju.go.kr/,36.82063442,128.6115011,2026-06-22,5090000,경상북도 영주시
영주평은작은도서관,경상북도,영주시,작은도서관,매주토요일+매주일요일+국가지정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,15,3652,0,112,5,14,경상북도 영주시 평은면 신평로 29,경상북도 영주시청,054-637-1677,,120,https://lib.yeongju.go.kr/,36.75842346,128.6885072,2026-06-22,5090000,경상북도 영주시
영주휴천작은도서관,경상북도,영주시,작은도서관,매주토요일+매주일요일+국가지정공휴일,13:00,18:00,00:00,00:00,00:00,00:00,20,10974,0,227,5,14,경상북도 영주시 구성로273번길 30,경상북도 영주시청,054-631-6302,,76,https://lib.yeongju.go.kr/,36.81778548,128.6258875,2026-06-22,5090000,경상북도 영주시
영주상망작은도서관,경상북도,영주시,작은도서관,매주토요일+매주일요일+국가지정공휴일,13:00,18:00,00:00,00:00,00:00,00:00,30,9688,0,112,5,14,경상북도 영주시 광복로 87,경상북도 영주시청,054-631-6137,,79,https://lib.yeongju.go.kr/,36.82810553,128.6283302,2026-06-22,5090000,경상북도 영주시
구미생활문화센터작은도서관,경상북도,구미시,작은도서관,월요일+일요일+공휴일,10:00,21:00,10:00,17:00,00:00,00:00,50,6718,4,0,5,14,경상북도 구미시 구미중앙로15길 20,경상북도 구미시청,054-480-6638,1091,322,https://lib.gumi.go.kr/,36.12963022,128.3340472,2026-06-25,5080000,경상북도 구미시
송정나래작은도서관,경상북도,구미시,작은도서관,월요일+일요일+공휴일,10:00,18:00,10:00,17:00,00:00,00:00,50,6080,4,0,5,14,경상북도 구미시 송정대로10길 34-1,경상북도 구미시청,054-441-0118,603,279,https://lib.gumi.go.kr/,36.11833079,128.3546632,2026-06-25,5080000,경상북도 구미시
해평누리작은도서관,경상북도,구미시,작은도서관,월요일+일요일+공휴일,10:00,18:00,10:00,17:00,00:00,00:00,20,8160,0,0,5,14,경상북도 구미시 해평면 강동로 1652,경상북도 구미시청,054-472-8799,2496,167,https://lib.gumi.go.kr/,36.19817138,128.3918009,2026-06-25,5080000,경상북도 구미시
구미시립선산도서관,경상북도,구미시,공공도서관,자료실(첫째 월요일+셋째 월요일+일요일 제외한 공휴일)+열람실(1월 1일+설 연휴+추석 연휴),08:00,22:00,08:00,22:00,08:00,22:00,406,90822,64,806,5,14,경상북도 구미시 선산읍 선산대로 1400-16,경상북도 구미도시공사,054-480-2120,4577,2942,https://lib.gumi.go.kr/,36.23882067,128.3048733,2026-06-25,5080000,경상북도 구미시
구미시립봉곡도서관,경상북도,구미시,공공도서관,자료실(둘째 월요일+넷째 월요일+일요일 제외한 공휴일)+열람실(1월 1일+설 연휴+추석 연휴),08:00,22:00,08:00,22:00,08:00,22:00,710,138459,65,829,5,14,경상북도 구미시 봉곡로15길 54 (봉곡동),경상북도 구미도시공사,054-480-2100,11837,4826,https://lib.gumi.go.kr/,36.15291574,128.3076921,2026-06-25,5080000,경상북도 구미시
구미시립산동도서관,경상북도,구미시,공공도서관,자료실(둘째 월요일+넷째 월요일+일요일 제외한 공휴일)+공휴일 및 1월 1일 신정,09:00,20:00,09:00,17:00,09:00,17:00,508,55215,61,0,5,14,경상북도 구미시 산동읍 신당3로1길 4(신당리),경상북도 구미시청,054-480-4690,5000,3149,https://lib.gumi.go.kr/,36.15814085,128.4299363,2026-06-25,5080000,경상북도 구미시
구미시립양포도서관,경상북도,구미시,공공도서관,자료실(첫째 월요일+셋째 월요일+일요일 제외한 공휴일)+열람실(1월 1일+설 연휴+추석 연휴),08:00,22:00,08:00,22:00,08:00,22:00,740,61058,62,0,5,14,경상북도 구미시 옥계북로 51 (옥계동),경상북도 구미시청,054-480-4770,10063,3530,https://lib.gumi.go.kr/,36.13877686,128.423119,2026-06-25,5080000,경상북도 구미시
구미시립인동도서관,경상북도,구미시,공공도서관,자료실(둘째 월요일+넷째 월요일+일요일 제외한 공휴일)+열람실(1월 1일+설 연휴+추석 연휴),08:00,22:00,08:00,22:00,08:00,22:00,600,112649,64,0,5,14,경상북도 구미시 인동14길 14 (진평동),경상북도 구미시청,054-480-4700,10149,1396,https://lib.gumi.go.kr/,36.0994342,128.423668,2026-06-25,5080000,경상북도 구미시
구미시립상모정수도서관,경상북도,구미시,공공도서관,자료실(둘째 월요일+넷째 월요일+일요일 제외한 공휴일)+열람실(1월 1일+설 연휴+추석 연휴),08:00,22:00,08:00,22:00,08:00,22:00,608,94853,65,0,5,14,경상북도 구미시 상사서로4길 10 (상모동),경상북도 구미시청,054-480-4730,4503,1146,https://lib.gumi.go.kr/,36.0874729,128.3560852,2026-06-25,5080000,경상북도 구미시
구미시립중앙도서관,경상북도,구미시,공공도서관,자료실(첫째 월요일+셋째 월요일+일요일 제외한 공휴일)+열람실(1월 1일+설 연휴+추석 연휴),08:00,22:00,08:00,22:00,08:00,22:00,799,198546,72,201846,5,14,경상북도 구미시 경은로 85 (형곡동),경상북도 구미시청,054-480-4660,6783,2674,https://lib.gumi.go.kr/,36.1137978,128.3352215,2026-06-25,5080000,경상북도 구미시
보성농어촌공공도서관,전라남도,보성군,공공도서관,매주월요일+국가지정공휴일,09:00,22:00,09:00,22:00,00:00,00:00,36,28250,0,0,5,10,전라남도 보성군 득량면 예당길 155-23,전라남도 보성군청,061-850-8460,3401,1067,,34.77972568,127.196775,2026-05-20,4890000,전라남도 보성군
장수군립도서관,전북특별자치도,장수군,공공도서관,월+공휴일,09:00,22:00,09:00,18:00,00:00,00:00,100,54464,0,0,5,14,전북특별자치도 장수군 장계면 방천길 19,전북특별자치도 장수군청 행정복지국 문화체육과,063-350-1621,1593,1380,https://lib.jangsu.go.kr/longvt/uce/main.do,35.73004472,127.5897788,2026-05-07,4751000,전북특별자치도 장수군
정산도서관,충청남도,청양군,공공도서관,매주 월요일+법정공휴일+국경일,09:00,21:00,09:00,18:00,00:00,00:00,120,43098,22,832,43098,14,충청남도 청양군 정산면 역말길 5-5,충청남도 청양군청,041-940-2555,6043,1762,https://www.cheongyang.go.kr/lib.do,36.41292247,126.9513219,2026-05-07,4590000,충청남도 청양군
충주시립도서관,충청북도,충주시,공공도서관,매주 월,09:00,22:00,09:00,18:00,09:00,18:00,580,546321,178,19833,5,21,충청북도 충주시 예성로 207,충주시립도서관,043-850-3970,13372,7298,lib.chungju.go.kr,36.97477945,127.9338048,2026-05-31,4390000,충청북도 충주시
태백산소드림도서관,강원특별자치도,태백시,공공도서관,금요일공휴일12월31일,09:00,22:00,09:00,22:00,00:00,00:00,160,56113,24,0,5,14,강원특별자치도 태백시 장수길 33,강원특별자치도 태백시,033-550-2757,1361,908.26,www.taebaek.go.kr/lib,37.17996988,128.984964,2026-04-21,4221000,강원특별자치도 태백시
태백시립도서관,강원특별자치도,태백시,공공도서관,월요일공휴일12월31일,09:00,22:00,09:00,22:00,00:00,00:00,170,118378,28,5981,5,14,강원특별자치도 태백시 평화길 12,강원특별자치도 태백시,033-550-2755,1293,1159.64,www.taebaek.go.kr/lib,37.09970349,129.0219603,2026-04-21,4221000,강원특별자치도 태백시
가평군 조종도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+선거일+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,72,74530,40,1976,7,14,경기도 가평군 조종면 조종희망로 26번길22,경기도 가평군,031-580-4303,2692,1502,www.gaplib.go.kr,37.818290,127.352981,2026-05-20,4160000,경기도 가평군
가평군 청평도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+선거일+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,110,82270,39,1445,7,14,경기도 가평군 청평면 은고개로 31,경기도 가평군,031-580-4332,4500,2486,www.gaplib.go.kr,37.739591,127.424230,2026-05-20,4160000,경기도 가평군
가평군 설악도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+선거일+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,97,66479,39,1557,7,14,경기도 가평군 설악면 자잠로 65 가평설악도서관,경기도 가평군,031-580-4313,3693,1470,www.gaplib.go.kr,37.683315,127.491015,2026-05-20,4160000,경기도 가평군
가평군 한석봉도서관,경기도,가평군,공공도서관,1월 1일+설 연휴+선거일+추석연휴,07:00,23:59,07:00,23:59,07:00,23:59,119,134853,43,5666,7,14,경기도 가평군 가평읍 문화로 187,경기도 가평군,031-580-4041,7485,3602,www.gaplib.go.kr,37.829691,127.506433,2026-05-20,4160000,경기도 가평군
이천시립마장도서관,경기도,이천시,공공도서관,월+국가지정공휴일,08:00,23:00,08:00,23:00,00:00,00:00,210,52105,40,0,7,14,경기도 이천시 마장면 마장로 11,경기도 이천시청,031-645-3440,2000,1385,https://www.icheonlib.go.kr,37.25356685,127.3547039,2026-05-26,4070000,경기도 이천시
이천시립효양도서관,경기도,이천시,공공도서관,금+국가지정공휴일,08:00,23:00,08:00,23:00,00:00,00:00,517,143450,64,3258,7,14,경기도 이천시 부발읍 경충대로2250번길 35,경기도 이천시청,031-644-4391,4515,3484,https://www.icheonlib.go.kr,37.26158189,127.4779809,2026-05-26,4070000,경기도 이천시
이천시립어린이도서관,경기도,이천시,공공도서관,월+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,280,104777,33,5788,7,14,경기도 이천시 남천로 31,경기도 이천시청,031-644-4380,11168,2158,https://www.icheonlib.go.kr,37.2782608,127.4410593,2026-05-26,4070000,경기도 이천시
이천시립청미도서관,경기도,이천시,공공도서관,월+국가지정공휴일,08:00,23:00,08:00,23:00,00:00,00:00,232,114892,41,3945,7,14,경기도 이천시 장호원읍 서동대로8829번길 53-6,경기도 이천시청,031-644-4371,3305,1941,https://www.icheonlib.go.kr,37.11694045,127.6152057,2026-05-26,4070000,경기도 이천시
이천시립도서관,경기도,이천시,공공도서관,월+국가지정공휴일,08:00,23:00,08:00,23:00,00:00,00:00,473,164308,64,15058,7,14,경기도 이천시 설봉로81번길 50,경기도 이천시청,031-644-4351,5711,3296,https://www.icheonlib.go.kr,37.286745,127.436913,2026-05-26,4070000,경기도 이천시
오산시 햇살마루도서관,경기도,오산시,공공도서관,첫째 주 월+셋째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,20:00,09:00,18:00,09:00,18:00,72,48025,20,0,7,14,경기도 오산시 오산로 132번길 28-6,경기도 오산시청,031-8036-6500,1508.6,999.02,https://osanlibrary.go.kr/hatsalmaru/index.do,37.13835719,127.071757,2026-06-04,4000000,경기도 오산시
오산시 소리울도서관,경기도,오산시,공공도서관,둘째 주 월+넷째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,22:00,09:00,18:00,09:00,18:00,100,34793,21,231,7,14,경기도 오산시 경기대로 102-25,경기도 오산시청,031-8036-6670,4624,2999.68,https://osanlibrary.go.kr/soriul/index.do,37.13259349,127.0749143,2026-06-04,4000000,경기도 오산시
오산시 초평도서관,경기도,오산시,공공도서관,첫째 주 월+셋째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,22:00,09:00,18:00,09:00,18:00,220,52032,23,854,7,14,경기도 오산시 발안로 1353-11(누읍동 561),경기도 오산시청,031-8036-6142,17574,1290.71,https://osanlibrary.go.kr/chopyeong/index.do,37.142448,127.046558,2026-06-04,4000000,경기도 오산시
오산시 청학도서관,경기도,오산시,공공도서관,둘째 주 월+넷째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,22:00,09:00,18:00,09:00,18:00,75,25443,24,566,7,14,경기도 오산시 청학로 80(궐동),경기도 오산시청,031-8036-6490,16921,2037.27,https://osanlibrary.go.kr/cheonghak/index.do,37.152288,127.042302,2026-06-04,4000000,경기도 오산시
오산시 양산도서관,경기도,오산시,공공도서관,둘째 주 월+넷째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,22:00,09:00,18:00,09:00,18:00,232,58065,25,973,7,14,경기도 오산시 양산로 410번길 34,경기도 오산시청,031-8036-6143,1113,2184.77,https://osanlibrary.go.kr/yangsan/index.do,37.19429611,127.0321996,2026-06-04,4000000,경기도 오산시
오산시 꿈두레도서관,경기도,오산시,공공도서관,첫째 주 월+셋째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,22:00,09:00,18:00,09:00,18:00,362,132144,36,1107,7,14,경기도 오산시 세마역로 20(세교동 618),경기도 오산시청,031-8036-6520,8342.9,5317.14,https://osanlibrary.go.kr/kkumdure/index.do,37.1815707,127.0454507,2026-06-04,4000000,경기도 오산시
오산시 중앙도서관,경기도,오산시,공공도서관,첫째 주 월+셋째 주 월+1월 1일+설 연휴+추석 연휴+명절 연휴와 이어지는 토·일+임시 휴관일(특별한 사유),09:00,22:00,09:00,18:00,09:00,18:00,442,248084,35,2483,7,14,경기도 오산시 운암로 85,경기도 오산시청,031-8036-6140,2970.1,6459.08,https://osanlibrary.go.kr/jungang/index.do,37.15387677,127.0769305,2026-06-04,4000000,경기도 오산시
화정어린이도서관,경기도,고양시,어린이도서관,월+일요일을 제외한 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,0,96589,29,1137,7,14,경기도 고양시 덕양구 화신로 323(화정동),경기도 고양시청,031-8075-9299,1002.1,1688.7,https://www.goyanglib.or.kr/MI/index.do,37.6328324461,126.8263013146,2026-06-05,3940000,경기도 고양시
화정도서관,경기도,고양시,공공도서관,금+일요일을 제외한 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,0,148365,0,5304,7,14,경기도 고양시 덕양구 은빛로77번길 8(화정동),경기도 고양시청,031-8075-9215,4149.3,4580.1,https://www.goyanglib.or.kr/ME/index.do,37.6378353432,126.8371029508,2026-06-05,3940000,경기도 고양시
화전작은도서관,경기도,고양시,작은도서관,토+일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,0,14880,0,0,5,14,경기도 고양시 덕양구 화랑로1-1(화전동),경기도 고양시 덕양구 화전동 주민자치회,02-3159-2266,100,100,https://cafe.naver.com/hjslib,37.599468935,126.8727722765,2026-06-05,3940000,경기도 고양시
행신어린이도서관,경기도,고양시,어린이도서관,금+일요일을 제외한 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,0,98562,28,970,7,14,경기도 고양시 덕양구 소원로181번길 42(행신동),경기도 고양시청,031-8075-9278,1050.5,1687.72,https://www.goyanglib.or.kr/MH/index.do,37.6147891698,126.8434670901,2026-06-05,3940000,경기도 고양시
행신도서관,경기도,고양시,공공도서관,월+일요일을 제외한 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,204,126067,80,1528,7,14,경기도 고양시 덕양구 행당로33번길 25-6(행신동),경기도 고양시청,031-8075-9240,3753,2803,https://www.goyanglib.or.kr/MB/index.do,37.6207587073,126.8283396499,2026-06-05,3940000,경기도 고양시
한뫼도서관,경기도,고양시,공공도서관,금+일요일을 제외한 법정공휴일,07:00,23:00,07:00,23:00,07:00,23:00,134,129685,85,2006,7,14,경기도 고양시 일산서구 탄중로 284(일산동),경기도 고양시청,031-8075-9115,26167,4159.54,https://www.goyanglib.or.kr/MK/index.do,37.6935580577,126.7762596618,2026-06-05,3940000,경기도 고양시
풍동도서관,경기도,고양시,공공도서관,월+일요일을 제외한 법정공휴일,07:00,23:00,07:00,23:00,07:00,23:00,0,85824,63,1546,7,14,경기도 고양시 일산동구 숲속마을로 108(풍동),경기도 고양시청,031-8075-9148,51109.3,1574.13,https://www.goyanglib.or.kr/ML/index.do,37.6707298166,126.7971232669,2026-06-05,3940000,경기도 고양시
주엽어린이도서관,경기도,고양시,어린이도서관,금+일요일을 제외한 법정공휴일,09:00,18:00,09:00,18:00,09:00,18:00,0,114881,28,1307,7,14,경기도 고양시 일산서구 주엽로 104(주엽동),경기도 고양시청,031-8075-9168,1500,2049.78,https://www.goyanglib.or.kr/MG/index.do,37.6684631292,126.7565046036,2026-06-05,3940000,경기도 고양시
일산도서관,경기도,고양시,공공도서관,월+일요일을 제외한 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,0,60533,92,658,7,14,경기도 고양시 일산서구 고양대로 586-65(일산동),경기도 고양시청,031-8075-9367,1272,2676.44,https://www.goyanglib.or.kr/MU/index.do,37.6850248233,126.7644125397,2026-06-05,3940000,경기도 고양시
아람누리도서관,경기도,고양시,공공도서관,월+일요일을 제외한 법정공휴일,09:00,22:00,09:00,18:00,09:00,18:00,0,174493,192,2360,7,14,경기도 고양시 일산동구 중앙로 1286(마두동),경기도 고양시청,031-8075-9038,54239.4,4457.07,https://www.goyanglib.or.kr/MF/index.do,37.6614856049,126.7744582922,2026-06-05,3940000,경기도 고양시
신원도서관,경기도,고양시,공공도서관,월+일요일을 제외한 법정공휴일,07:00,23:00,07:00,23:00,07:00,23:00,170,91206,80,1610,7,14,경기도 고양시 덕양구 신원2로 24(신원동),경기도 고양시청,031-8075-9340,14983,3982.89,https://www.goyanglib.or.kr/MO/index.do,37.6663812293,126.8863579645,2026-06-05,3940000,경기도 고양시
식사도서관,경기도,고양시,공공도서관,금+일요일을 제외한 법정공휴일,07:00,23:00,07:00,23:00,07:00,23:00,194,96867,77,1894,7,14,경기도 고양시 일산동구 위시티2로 43-6(식사동),경기도 고양시청,031-8075-9190,2400,3775.72,https://www.goyanglib.or.kr/MM/index.do,37.6760844428,126.8159209395,2026-06-05,3940000,경기도 고양시
삼송도서관,경기도,고양시,공공도서관,금+일요일을 제외한 법정공휴일,07:00,23:00,07:00,23:00,07:00,23:00,110,90116,83,1089,7,14,경기도 고양시 덕양구 덕수천1로 73(삼송동),경기도 고양시청,031-8075-9360,45016,3836.14,https://www.goyanglib.or.kr/MP/index.do,37.6488638785,126.8848538901,2026-06-05,3940000,경기도 고양시
사리현작은도서관,경기도,고양시,작은도서관,월+일+법정공휴일,09:00,18:00,10:00,18:00,00:00,00:00,0,14284,0,0,5,14,경기도 고양시 일산동구 공릉천로 64(사리현동),경기도 고양시 일산동구 사리현동 동문굿모닝힐 입주자대표회의,031-815-5530,93,93,https://blog.naver.com/sarihyeon,37.6987973077,126.8460090563,2026-06-05,3940000,경기도 고양시
별꿈도서관,경기도,고양시,공공도서관,월+일요일을 제외한 법정공휴일,10:00,19:00,09:00,18:00,09:00,18:00,0,19170,7,0,7,14,경기도 고양시 덕양구 고양대로 1937(동산동),경기도 고양시청,031-8075-9305,471,585.08,https://www.goyanglib.or.kr/MQ/index.do,37.6457835347,126.8942168236,2026-06-05,3940000,경기도 고양시
모당공원작은도서관,경기도,고양시,작은도서관,월+일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,0,9705,0,0,3,14,경기도 고양시 일산동구 중산로 73-2(중산동),경기도 고양시청,070-4244-7442,174,174,https://www.instagram.com/modanglib?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,37.6781499889,126.7812877416,2026-06-05,3940000,경기도 고양시
